version,1.7.0,,,,,,,,,,,,,,
ball,1,19.6,India,B Kumar,Mohammed Shami,Haris Rauf,0,1,,,1,,,,
ball,2,0.1,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,0,0,,,,,,,
ball,2,0.2,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,4,0,,,,,,,
ball,2,0.3,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,6,0,,,,,,,
ball,2,0.4,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,0,0,,,,,,,
ball,2,0.5,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,0,0,,,,,,,
ball,2,0.6,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,0,0,,,,,,,
ball,2,1.1,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,1,0,,,,,,,
ball,2,1.2,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,0,0,,,,,,,
ball,2,1.3,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,2,0,,,,,,,
ball,2,1.4,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,1,0,,,,,,,
ball,2,1.5,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,4,0,,,,,,,
ball,2,1.6,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,0,0,,,,,,,
ball,2,2.1,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,1,0,,,,,,,
ball,2,2.2,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,0,0,,,,,,,
ball,2,2.3,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,0,0,,,,,,,
ball,2,2.4,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,3,0,,,,,,,
ball,2,2.5,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,0,0,,,,,,,
ball,2,2.6,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,0,0,,,,,,,
ball,2,3.1,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,1,0,,,,,,,
ball,2,3.2,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,1,0,,,,,,,
ball,2,3.3,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,0,0,,,,,,,
ball,2,3.4,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,0,0,,,,,,,
ball,2,3.5,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,0,0,,,,,,,
ball,2,3.6,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,0,0,,,,,,,
ball,2,4.1,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,1,0,,,,,,,
ball,2,4.2,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,0,0,,,,,,,
ball,2,4.3,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,4,0,,,,,,,
ball,2,4.4,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,1,0,,,,,,,
ball,2,4.5,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,4,0,,,,,,,
ball,2,4.6,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,1,0,,,,,,,
ball,2,5.1,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,0,1,1,,,,,,
ball,2,5.2,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,2,0,,,,,,,
ball,2,5.3,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,1,0,,,,,,,
ball,2,5.4,Pakistan,Babar Azam,Mohammad Rizwan,B Kumar,1,0,,,,,,,
ball,2,5.5,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,1,0,,,,,,,
ball,2,5.6,Pakistan,Babar Azam,Mohammad Rizwan,B Kumar,2,0,,,,,,,
ball,2,5.7,Pakistan,Babar Azam,Mohammad Rizwan,B Kumar,0,0,,,,,,,
ball,2,6.1,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,1,0,,,,,,,
ball,2,6.2,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,0,0,,,,,,,
ball,2,6.3,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,0,0,,,,,,,
ball,2,6.4,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,0,0,,,,,,,
ball,2,6.5,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,1,0,,,,,,,
ball,2,6.6,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,1,0,,,,,,,
ball,2,7.1,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,1,0,,,,,,,
ball,2,7.2,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,1,0,,,,,,,
ball,2,7.3,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,0,1,1,,,,,,
ball,2,7.4,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,0,0,,,,,,,
ball,2,7.5,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,1,0,,,,,,,
ball,2,7.6,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,1,0,,,,,,,
ball,2,7.7,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,1,0,,,,,,,
ball,2,8.1,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,1,0,,,,,,,
ball,2,8.2,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,1,0,,,,,,,
ball,2,8.3,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,1,0,,,,,,,
ball,2,8.4,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,0,0,,,,,,,
ball,2,8.5,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,6,0,,,,,,,
ball,2,8.6,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,1,0,,,,,,,
ball,2,9.1,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,4,0,,,,,,,
ball,2,9.2,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,1,0,,,,,,,
ball,2,9.3,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,2,0,,,,,,,
ball,2,9.4,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,1,0,,,,,,,
ball,2,9.5,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,1,0,,,,,,,
ball,2,9.6,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,0,0,,,,,,,
ball,2,10.1,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,2,0,,,,,,,
ball,2,10.2,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,4,0,,,,,,,
ball,2,10.3,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,0,0,,,,,,,
ball,2,10.4,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,0,0,,,,,,,
ball,2,10.5,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,2,0,,,,,,,
ball,2,10.6,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,1,0,,,,,,,
ball,2,11.1,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,1,0,,,,,,,
ball,2,11.2,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,0,0,,,,,,,
ball,2,11.3,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,1,0,,,,,,,
ball,2,11.4,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,0,1,,,,1,,,
ball,2,11.5,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,2,0,,,,,,,
ball,2,11.6,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,0,0,,,,,,,
ball,2,12.1,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,1,0,,,,,,,
ball,2,12.2,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,6,0,,,,,,,
ball,2,12.3,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,1,0,,,,,,,
ball,2,12.4,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,6,0,,,,,,,
ball,2,12.5,Pakistan,Babar Azam,Mohammad Rizwan,CV Varun,1,0,,,,,,,
ball,2,12.6,Pakistan,Mohammad Rizwan,Babar Azam,CV Varun,1,0,,,,,,,
ball,2,13.1,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,1,0,,,,,,,
ball,2,13.2,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,4,0,,,,,,,
ball,2,13.3,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,1,0,,,,,,,
ball,2,13.4,Pakistan,Mohammad Rizwan,Babar Azam,RA Jadeja,1,0,,,,,,,
ball,2,13.5,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,0,0,,,,,,,
ball,2,13.6,Pakistan,Babar Azam,Mohammad Rizwan,RA Jadeja,4,0,,,,,,,
ball,2,14.1,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,0,0,,,,,,,
ball,2,14.2,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,4,0,,,,,,,
ball,2,14.3,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,2,0,,,,,,,
ball,2,14.4,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,1,0,,,,,,,
ball,2,14.5,Pakistan,Babar Azam,Mohammad Rizwan,JJ Bumrah,1,0,,,,,,,
ball,2,14.6,Pakistan,Mohammad Rizwan,Babar Azam,JJ Bumrah,1,0,,,,,,,
ball,2,15.1,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,4,0,,,,,,,
ball,2,15.2,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,0,0,,,,,,,
ball,2,15.3,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,1,0,,,,,,,
ball,2,15.4,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,1,0,,,,,,,
ball,2,15.5,Pakistan,Mohammad Rizwan,Babar Azam,Mohammed Shami,1,0,,,,,,,
ball,2,15.6,Pakistan,Babar Azam,Mohammad Rizwan,Mohammed Shami,0,0,,,,,,,
ball,2,16.1,Pakistan,Mohammad Rizwan,Babar Azam,B Kumar,1,0,,,,,,,
